,plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
511,GXD2309,NY,PAS,8601361900,11/03/2017,09:04A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,83.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVUVEpOVkd0M1RVRTlQUT09&locationName=_____________________)
512,HKM7315,NY,OMS,8601362679,11/04/2017,10:35A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVUVEpOYWxrelQxRTlQUT09&locationName=_____________________)
513,HMK1628,NY,OMS,8601365437,11/17/2017,09:33A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,94.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVUVEpPVkZGNlRuYzlQUT09&locationName=_____________________)
514,GXR2230,NY,PAS,8601367550,11/24/2017,08:27A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,83.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVUVEpPZWxVeFRVRTlQUT09&locationName=_____________________)
515,EAE2572,NY,PAS,8601367604,11/24/2017,08:39A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,83.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVUVEpPZWxsM1RrRTlQUT09&locationName=_____________________)
516,GNR7083,NY,PAS,8601368840,11/24/2017,01:02P,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,81.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVUVEpQUkdjd1RVRTlQUT09&locationName=_____________________)
517,HUD2464,NY,PAS,8601400978,09/29/2017,06:54A,CROSSWALK,,115.0,0.0,0.0,0.0,115.0,0.0,44.0,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVVWGROUkdzelQwRTlQUT09&locationName=_____________________)
518,HKR2439,NY,PAS,8640534548,03/14/2020,04:14P,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,90.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMUVWWHBPUkZVd1QwRTlQUT09&locationName=_____________________)
519,87306MK,NY,COM,8689592040,02/04/2020,01:51P,EXPIRED MUNI METER,,65.0,0.0,0.0,25.0,40.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FOVVWVFZOYWtFd1RVRTlQUT09&locationName=_____________________)
520,AG01087,PA,PAS,8478912642,04/07/2017,01:03P,DOUBLE PARKING,,115.0,0.0,0.0,115.0,0.0,0.0,10.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOYWxrd1RXYzlQUT09&locationName=_____________________)
521,GZR9761,NY,PAS,8478913099,04/10/2017,11:31A,NO STANDING-COMM METER ZONE,,115.0,10.0,0.0,10.0,115.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZWtFMVQxRTlQUT09&locationName=_____________________)
522,DXP4002,NY,PAS,8528953166,03/16/2017,02:27P,REG. STICKER-EXPIRED/MISSING,07/06/2017,65.0,60.0,0.31,0.31,125.0,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhekZOZWtVeVRtYzlQUT09&locationName=_____________________)
523,30649MA,NY,COM,8484428096,07/26/2017,09:28A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,18.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxQUkVFMVRtYzlQUT09&locationName=_____________________)
524,HPL2828,NY,PAS,8564455845,06/05/2017,01:04P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,102.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPVkdjd1RsRTlQUT09&locationName=_____________________)
525,GZJ4601,NY,PAS,4677327828,01/28/2020,05:21P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,25.0,0.0,25.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZUWGxPZW1kNVQwRTlQUT09&locationName=_____________________)
526,42603JZ,NY,COM,8112515682,05/05/2016,01:08P,FAIL TO DSPLY MUNI METER RECPT,10/20/2016,65.0,60.0,7.3,104.3,28.0,0.0,10.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFMXFWWGhPVkZrMFRXYzlQUT09&locationName=_____________________)
527,0180VL,FL,PAS,8601405095,10/17/2017,07:59A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,52.0,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVVWGRPVkVFMVRsRTlQUT09&locationName=_____________________)
528,GCM3530,NY,PAS,8601410730,11/14/2017,09:07A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,40.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVVWGhOUkdONlRVRTlQUT09&locationName=_____________________)
529,HRJ5481,NY,OMS,8601516324,11/20/2017,10:30A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,94.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVWWGhPYWsxNVRrRTlQUT09&locationName=_____________________)
530,HPM1334,NY,PAS,8601615478,11/21/2017,07:37A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVXWGhPVkZFelQwRTlQUT09&locationName=_____________________)
531,HKM7201,NY,OMS,8601763297,10/10/2017,07:46A,NO PARKING-EXC. AUTH. VEHICLE,,60.0,0.0,0.0,0.0,60.0,0.0,77.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZekpOZWtrMVRuYzlQUT09&locationName=_____________________)
532,HEE7478,NY,PAS,8601764575,10/12/2017,07:22A,FRONT OR BACK PLATE MISSING,,65.0,10.0,0.0,0.0,75.0,0.0,75.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZekpPUkZVelRsRTlQUT09&locationName=_____________________)
533,AC54756,IL,PAS,8601793629,11/28/2017,08:56A,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,83.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZelZOZWxsNVQxRTlQUT09&locationName=_____________________)
534,HKR9915,NY,PAS,8601861910,11/28/2017,02:34P,NO PARKING-DAY/TIME LIMITS,,60.0,0.0,0.0,0.0,60.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVaekpOVkd0NFRVRTlQUT09&locationName=_____________________)
535,GDX7868,NY,PAS,8601770228,10/21/2017,05:50A,CROSSWALK,,115.0,10.0,0.0,0.0,125.0,0.0,77.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZek5OUkVsNVQwRTlQUT09&locationName=_____________________)
536,NH2917,NC,PAS,8619632383,04/04/2019,06:43A,NO PARKING-DAY/TIME LIMITS,,65.0,0.0,0.0,0.0,65.0,0.0,18.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFOVVXWHBOYWswMFRYYzlQUT09&locationName=_____________________)
537,AMR7918,NY,PAS,7423139786,01/12/2017,11:58A,NO PARKING-STREET CLEANING,07/06/2017,45.0,60.0,3.52,0.27,108.25,0.0,46.0,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUmVVMTZSWHBQVkdNMFRtYzlQUT09&locationName=_____________________)
538,76870MH,NY,COM,8478912848,04/08/2017,08:20A,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,0.0,65.0,0.0,13.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOYW1jd1QwRTlQUT09&locationName=_____________________)
539,5N39H,NY,OMT,8478913105,04/10/2017,11:44A,NO STANDING-TAXI STAND,,115.0,0.0,0.0,115.0,0.0,0.0,10.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZWtWM1RsRTlQUT09&locationName=_____________________)
540,86302MJ,NY,COM,8478913269,04/11/2017,12:18P,DOUBLE PARKING-MIDTOWN COMML,,115.0,10.0,0.0,0.0,125.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZWtreVQxRTlQUT09&locationName=_____________________)
541,SHRKWEEK,NY,SRF,8314543111,02/10/2017,12:12P,NO STANDING-BUS STOP,,115.0,0.0,0.0,0.0,115.0,0.0,41.0,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNUVWVEJOZWtWNFRWRTlQUT09&locationName=_____________________)
542,16240TC,NY,TRC,8689643576,09/24/2019,08:13A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FOVVXVEJOZWxVelRtYzlQUT09&locationName=_____________________)
543,FFW7723,NY,PAS,8564456102,06/05/2017,05:54P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPYWtWM1RXYzlQUT09&locationName=_____________________)
544,GSE2964,NY,PAS,8564456140,06/06/2017,01:17P,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,105.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPYWtVd1RVRTlQUT09&locationName=_____________________)
545,HMJ5874,NY,OMS,8601771828,10/23/2017,09:13A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,90.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZek5OVkdkNVQwRTlQUT09&locationName=_____________________)
546,GNS2990,NY,PAS,8601771956,10/23/2017,09:38A,NO STANDING-BUS STOP,,115.0,0.0,0.0,115.0,0.0,0.0,90.0,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZek5OVkdzeFRtYzlQUT09&locationName=_____________________)
547,HMJ6013,NY,OMS,8601789456,11/20/2017,08:12A,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,94.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZelJQVkZFeFRtYzlQUT09&locationName=_____________________)
548,EWM1641,NY,PAS,8601789500,11/20/2017,08:25A,CROSSWALK,,115.0,0.0,0.0,0.0,115.0,0.0,94.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVZelJQVkZWM1RVRTlQUT09&locationName=_____________________)
549,12028JY,NY,COM,8601800397,10/06/2017,07:24A,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVaM2ROUkUwMVRuYzlQUT09&locationName=_____________________)
550,61077MC,NY,COM,8601802497,10/16/2017,01:46P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVaM2ROYWxFMVRuYzlQUT09&locationName=_____________________)
551,7AMDF9,CT,PAS,8528953580,03/17/2017,04:13P,FAIL TO DSPLY MUNI METER RECPT,07/06/2017,35.0,60.0,0.21,0.16,95.05,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhekZOZWxVMFRVRTlQUT09&locationName=_____________________)
552,K048881,TX,PAS,8478913440,04/11/2017,03:52P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,65.0,0.0,0.0,17.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZWxFd1RVRTlQUT09&locationName=_____________________)
553,56565MB,NY,COM,8478913488,04/13/2017,10:58A,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,13.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZWxFMFQwRTlQUT09&locationName=_____________________)
554,HHB7830,NY,OMS,8564455985,06/05/2017,03:06P,DOUBLE PARKING,,115.0,0.0,0.0,0.0,115.0,0.0,102.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPVkdzMFRsRTlQUT09&locationName=_____________________)
555,GMT2954,NY,PAS,8314543731,02/16/2017,10:49A,NO PARKING-STREET CLEANING,,45.0,10.0,0.0,0.0,55.0,0.0,49.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNUVWVEJOZW1ONlRWRTlQUT09&locationName=_____________________)
556,XDDR62,NJ,PAS,8564456000,06/05/2017,03:31P,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPYWtGM1RVRTlQUT09&locationName=_____________________)
557,PRZ1867,MN,PAS,8478913579,04/13/2017,12:52P,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,10.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZWxVelQxRTlQUT09&locationName=_____________________)
558,HRB9506,NY,PAS,8538504538,04/03/2017,12:15P,NO PARKING-DAY/TIME LIMITS,,60.0,30.0,0.0,0.0,90.0,0.0,84.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVWWGRPUkZWNlQwRTlQUT09&locationName=_____________________)
559,U73CWE,NJ,PAS,8601805978,11/11/2017,08:16A,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,0.0,65.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVaM2RPVkdzelQwRTlQUT09&locationName=_____________________)
560,HGR1425,NY,PAS,8601806053,11/11/2017,08:56A,NO PARKING-DAY/TIME LIMITS,,65.0,0.0,0.0,0.0,65.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVaM2RPYWtFeFRYYzlQUT09&locationName=_____________________)
561,B64HFL,NJ,PAS,8601858788,11/07/2017,02:48P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,35.0,0.0,0.0,112.0,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVaekZQUkdNMFQwRTlQUT09&locationName=_____________________)
562,006PID,DP,PAS,8601913015,11/28/2017,01:19P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVhM2hOZWtGNFRsRTlQUT09&locationName=_____________________)
563,GFM7074,NY,PAS,8601911870,11/24/2017,01:09P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,112.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVhM2hOVkdjelRVRTlQUT09&locationName=_____________________)
564,GBC4131,NY,PAS,8601912382,11/25/2017,03:51P,INSP. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVhM2hOYWswMFRXYzlQUT09&locationName=_____________________)
565,JPA5820,NY,PAS,1447788059,11/27/2019,11:27P,OBSTRUCTING DRIVEWAY,,95.0,10.0,0.0,0.0,105.0,0.0,115.0,Q,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZZelJQUkVFeFQxRTlQUT09&locationName=_____________________)
566,FGP1419,NY,PAS,1326799459,01/13/2012,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTmVVNXFZelZQVkZFeFQxRTlQUT09&locationName=_____________________)
567,EJW3483,NY,PAS,8602051232,09/29/2017,09:23A,FIRE HYDRANT,,115.0,10.0,0.0,0.0,125.0,0.0,109.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFRVEZOVkVsNlRXYzlQUT09&locationName=_____________________)
568,42664JZ,NY,COM,8602052789,10/11/2017,08:42A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,114.0,Q,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFRVEZOYW1NMFQxRTlQUT09&locationName=_____________________)
569,GTY1559,NY,PAS,8602056011,10/31/2017,12:02P,INSP. STICKER-EXPIRED/MISSING,,65.0,10.0,0.0,10.0,65.0,0.0,114.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFRVEZPYWtGNFRWRTlQUT09&locationName=_____________________)
570,83548JU,NY,COM,8602107833,11/13/2017,10:43A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,43.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFSWGRPZW1kNlRYYzlQUT09&locationName=_____________________)
571,62926JM,NY,COM,8602107857,11/13/2017,11:58A,NO STANDING-BUS STOP,,115.0,0.0,0.0,10.0,105.0,0.0,43.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFSWGRPZW1jeFRuYzlQUT09&locationName=_____________________)
572,66252MH,NY,COM,8602108023,11/14/2017,10:03A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,49.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFSWGRQUkVGNVRYYzlQUT09&locationName=_____________________)
573,GKS8354,NY,PAS,8602108928,11/21/2017,10:49A,EXPIRED MUNI METER,,35.0,0.0,0.0,0.0,35.0,0.0,49.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFSWGRQUkd0NVQwRTlQUT09&locationName=_____________________)
574,30976JX,NY,COM,8602211752,11/13/2017,01:59P,NO STANDING-BUS LANE,,115.0,0.0,0.0,10.0,105.0,0.0,48.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFTWGhOVkdNeFRXYzlQUT09&locationName=_____________________)
575,ETL2098,NY,PAS,8528954365,03/23/2017,02:30P,NO PARKING-DAY/TIME LIMITS,07/13/2017,60.0,60.0,0.06,0.06,120.0,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhekZPUkUweVRsRTlQUT09&locationName=_____________________)
576,BND4359,NY,PAS,8528954407,03/23/2017,02:48P,REG. STICKER-EXPIRED/MISSING,07/13/2017,65.0,60.0,0.21,0.0,125.21,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhekZPUkZGM1RuYzlQUT09&locationName=_____________________)
577,AS307W,NJ,PAS,8478913737,04/13/2017,04:23P,PLTFRM LFTS LWRD POS COMM VEH,,65.0,0.0,0.0,65.0,0.0,0.0,13.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZW1ONlRuYzlQUT09&locationName=_____________________)
578,GVA9768,NY,PAS,8478913750,04/17/2017,11:54A,INSP. STICKER-EXPIRED/MISSING,,65.0,10.0,0.0,0.0,75.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZW1NeFRVRTlQUT09&locationName=_____________________)
579,T728634C,NY,OMT,8534732681,06/27/2017,02:30P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,35.0,0.0,0.0,75.0,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrNUVZM3BOYWxrMFRWRTlQUT09&locationName=_____________________)
580,DMC9652,NY,PAS,8478913749,04/17/2017,10:56A,FAIL TO DSPLY MUNI METER RECPT,,65.0,10.0,0.0,0.0,75.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2hOZW1Nd1QxRTlQUT09&locationName=_____________________)
581,EGM9841,NY,PAS,8564456485,06/06/2017,06:27P,NO PARKING-DAY/TIME LIMITS,,60.0,0.0,0.0,0.0,60.0,0.0,105.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPYWxFMFRsRTlQUT09&locationName=_____________________)
582,14899MB,NY,COM,8602252924,10/11/2017,03:00P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,43.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFTVEZOYW10NVRrRTlQUT09&locationName=_____________________)
583,IDIDTHAT,NY,SRF,8602256917,11/04/2017,12:19P,EXPIRED MUNI METER,,35.0,0.0,0.0,0.0,35.0,0.0,43.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFTVEZPYW10NFRuYzlQUT09&locationName=_____________________)
584,44558MK,NY,COM,8602356183,10/27/2017,01:32P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,47.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFUVEZPYWtVMFRYYzlQUT09&locationName=_____________________)
585,GZS2995,NY,PAS,8602356948,10/31/2017,04:22P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFUVEZPYW1zd1QwRTlQUT09&locationName=_____________________)
586,HEX7626,NY,PAS,8578869461,04/24/2018,10:08A,NO STANDING-DAY/TIME LIMITS,08/09/2018,115.0,60.0,0.22,0.04,175.18,0.0,77.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOUVaekpQVkZFeVRWRTlQUT09&locationName=_____________________)
587,BND4359,NY,PAS,8528954419,03/23/2017,02:53P,INSP. STICKER-EXPIRED/MISSING,07/13/2017,65.0,60.0,0.21,0.0,125.21,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhekZPUkZGNFQxRTlQUT09&locationName=_____________________)
588,GZH1460,NY,PAS,8528954444,03/23/2017,03:33P,INSP. STICKER-EXPIRED/MISSING,07/13/2017,65.0,60.0,0.21,0.0,125.21,0.0,45.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhekZPUkZFd1RrRTlQUT09&locationName=_____________________)
589,72954MH,NY,COM,8538505920,04/08/2017,09:19A,BIKE LANE,,115.0,30.0,0.0,145.0,0.0,0.0,77.0,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVWWGRPVkd0NVRVRTlQUT09&locationName=_____________________)
